days;year;no_crack;0.1_10;0.2_10;0.3_10;0.1_15;0.2_15;0.3_15;0.1_20;0.2_20;0.3_20;0.1_25;0.2_25;0.3_25;0.1_30;0.2_30;0.3_30
7;0.019178082;5.150078989;;;;;16;;;;;;;;;;
14;0.038356164;7.969984202;13.2;15.6;16.2;15.1;16.8;18.2;15.6;17.4;18.9;16.1;17.6;19.2;16.2;17.5;19
21;0.057534247;10.16587678;;;;;18;;;;;;;;;;
